,id,seq_cluster_label,struct_cluster_label
183,2765624323.pdb,3,3
184,2872781297.pdb,2,2
185,2636645018.pdb,4,4
186,2915416054.pdb,1,1
187,2771784190.pdb,1,1
188,2808295654.pdb,1,1
189,2771870499.pdb,0,0
190,2800247947.pdb,4,4
191,2676252688.pdb,2,2
192,2925440118.pdb,0,0
193,2561459174.pdb,4,4
194,2815614087.pdb,1,1
195,2641120372.pdb,1,1
196,2849014119.pdb,3,3
197,2656988094.pdb,1,1
198,2567017550.pdb,3,3
199,2526247906.pdb,4,4
200,2745546911.pdb,0,0
201,2725337609.pdb,0,0
202,2907612462.pdb,0,0
203,2812825829.pdb,1,1
204,646254125.pdb,3,3
205,2774734325.pdb,0,0
206,2800742131.pdb,4,4
207,TanALp.pdb,0,0
208,646038830.pdb,1,1
209,647526067.pdb,3,3
210,TanBLp.pdb,1,1
211,2649292179.pdb,2,2
212,644252663.pdb,0,0
213,2515594305.pdb,2,2
214,2911617436.pdb,0,0
215,2554439104.pdb,3,3
216,2800635855.pdb,4,4
217,2866957454.pdb,0,0
218,2813283681.pdb,0,0
219,2800698379.pdb,4,4
220,TanAAp.pdb,0,0
221,2791281950.pdb,1,1
222,2644262238.pdb,2,2
223,2826338038.pdb,0,0
224,2925436013.pdb,1,1
225,646256224.pdb,3,3
226,2608465151.pdb,1,4
227,2731610882.pdb,2,2
228,2785369462.pdb,2,2
229,2702467603.pdb,2,2
230,2654356166.pdb,0,0
231,TanBSs.pdb,2,2
232,2851424282.pdb,0,0
233,2800734521.pdb,4,4
234,2808842023.pdb,2,2
235,2826335383.pdb,0,0
236,2846504933.pdb,0,0
237,TanCb1.pdb,0,0
238,2723987974.pdb,4,4
239,2826332774.pdb,0,0
240,2624521198.pdb,1,1
241,2895297582.pdb,0,0
242,637258864.pdb,3,3
243,2792388898.pdb,0,0
244,2867631196.pdb,2,2
245,TanBLpa.pdb,1,1
246,2636509363.pdb,0,0
247,2621025926.pdb,1,4
248,2564011747.pdb,3,3
249,2554441166.pdb,3,3
250,2873090557.pdb,2,2
251,2755298023.pdb,0,0
252,2645861674.pdb,2,2
253,2917284031.pdb,4,4
254,2581305531.pdb,1,1
255,2635528200.pdb,3,3
256,2585308755.pdb,2,2
